Date,,,Cases,,,,
03/12/2020,,,1,,,,
03/13/2020,,,2,,,,
03/14/2020,,,2,,,,
03/15/2020,,,2,,,,
03/16/2020,,,2,,,,
03/17/2020,,,3,,,,
03/18/2020,,,3,,,,
03/19/2020,,,8,,,,
03/20/2020,,,9,,,,
03/21/2020,,,10,,,,
03/22/2020,,,10,,,,
03/23/2020,,,10,,,,
03/24/2020,,,11,,,,
03/25/2020,,,11,,,,
03/26/2020,,,11,,,,
03/27/2020,,,13,,,,
03/28/2020,,,14,,,,
03/29/2020,,,15,,,,
03/30/2020,,,17,,,,
03/31/2020,,,18,,,,
04/01/2020,,,20,,,,
04/02/2020,,,20,,,,
04/03/2020,,,19,,,,
04/04/2020,,,20,,,,
04/05/2020,,,20,,,,
04/06/2020,,,18,,,,
04/07/2020,,,16,,,,
04/08/2020,,,16,,,,
04/09/2020,,,15,,,,
04/10/2020,,,15,,,,
04/11/2020,,,15,,,,
04/12/2020,,,15,,,,
04/13/2020,,,14,,,,
04/14/2020,,,15,,,,
04/15/2020,,,12,,,,
04/16/2020,,,13,,,,
04/17/2020,,,14,,,,
04/18/2020,,,16,,,,
04/19/2020,,,19,,,,
04/20/2020,,,18,,,,
04/21/2020,,,20,,,,
04/22/2020,,,22,,,,
04/23/2020,,,23,,,,
04/24/2020,,,24,,,,
04/25/2020,,,25,,,,
04/26/2020,,,26,,,,
04/27/2020,,,27,,,,
04/28/2020,,,28,,,,
04/29/2020,,,29,,,,
04/30/2020,,,30,,,,
05/01/2020,,,22,,,,
05/02/2020,,,18,,,,
05/03/2020,,,20,,,,
05/04/2020,,,20,,,,
05/05/2020,,,20,,,,
05/06/2020,,,19,,,,
05/07/2020,,,18,,,,
05/08/2020,,,16,,,,
05/09/2020,,,14,,,,
05/10/2020,,,12,,,,
05/11/2020,,,11,,,,
05/12/2020,,,11,,,,
05/13/2020,,,9,,,,
05/14/2020,,,9,,,,
05/15/2020,,,9,,,,
05/16/2020,,,8,,,,
05/17/2020,,,9,,,,
05/18/2020,,,9,,,,
05/19/2020,,,8,,,,
05/20/2020,,,7,,,,
05/21/2020,,,6,,,,
05/22/2020,,,6,,,,
05/23/2020,,,7,,,,
05/24/2020,,,6,,,,
05/25/2020,,,5,,,,
05/26/2020,,,4,,,,
05/27/2020,,,4,,,,
05/28/2020,,,5,,,,
05/29/2020,,,6,,,,
05/30/2020,,,6,,,,
05/31/2020,,,6,,,,
06/01/2020,,,6,,,,
06/02/2020,,,6,,,,
06/03/2020,,,6,,,,
06/04/2020,,,5,,,,
06/05/2020,,,5,,,,
06/06/2020,,,5,,,,
06/07/2020,,,5,,,,
06/08/2020,,,5,,,,
06/09/2020,,,5,,,,
