Date,BC,AB,ON,QC,NS,NB,MB,PI,SK,NL,NT,YT,NU,total
2020/09/23,22,9,24,30,0,0,2,0,1,0,0,0,0,88
2020/09/25,20,14,25,31,1,0,6,0,0,0,0,0,0,97
2020/09/28,19,14,29,41,1,0,6,0,0,0,0,0,0,110
2020/09/30,22,13,30,41,1,0,8,0,0,0,0,0,0,115
2020/10/2,19,12,38,49,1,0,7,0,0,0,0,0,0,126
2020/10/05,19,15,43,64,1,0,5,0,1,0,0,0,0,148
2020/10/07,15,13,43,62,1,0,7,0,1,0,0,0,0,143
2020/10/09,17,13,47,68,1,1,6,0,1,0,0,0,0,154
2020/10/13,19,11,60,75,1,1,4,0,1,0,0,0,0,172
2020/10/15,25,15,64,80,1,1,3,0,1,0,0,0,0,188
2020/10/19,26,11,71,88,0,1,6,0,2,0,0,0,0,205
2020/10/21,18,16,72,100,0,1,6,0,2,0,0,0,0,215
2020/10/23,24,18,74,101,0,1,8,0,3,0,0,0,0,229
2020/10/26,24,14,78,97,0,0,15,0,4,0,0,0,0,232
2020/10/28,27,16,71,89,0,0,19,0,6,0,0,0,0,228
2020/10/30,24,18,75,78,0,0,17,0,6,0,0,0,0,218
2020/11/2,24,25,75,84,0,1,18,0,7,0,0,0,0,234
2020/11/4,25,30,86,82,0,0,21,0,4,0,0,0,0,248
2020/11/6,24,30,86,77,0,0,16,0,5,0,0,0,0,238
2020/11/9,28,30,84,76,0,0,28,0,7,0,0,0,0,253
2020/11/11,46,43,82,82,0,0,30,0,11,0,0,0,0,294
2020/11/13,44,51,106,85,0,1,34,0,13,0,0,0,0,334
2020/11/16,50,54,125,87,0,1,41,0,16,0,0,0,0,374
2020/11/18,63,57,127,100,0,0,41,0,56,0,0,0,0,444
