Date,Ottawa,Quebec,Alberta,Manitoba,
3/6/2020,0,1,0,0,
3/7/2020,0,0,0,0,
3/8/2020,0,0,0,0,
3/9/2020,0,4,0,0,
3/10/2020,0,1,0,0,
3/11/2020,0,3,0,0,
3/12/2020,0,1,1,0,
3/13/2020,0,3,2,0,
3/14/2020,0,1,2,0,
3/15/2020,0,2,2,0,
3/16/2020,0,2,2,0,
3/17/2020,0,3,3,0,
3/18/2020,0,7,3,0,
3/19/2020,0,5,8,0,
3/20/2020,1,9,9,0,
3/21/2020,1,12,10,0,
3/22/2020,5,9,10,0,
3/23/2020,5,12,10,0,
3/24/2020,7,14,11,0,
3/25/2020,8,16,11,0,
3/26/2020,7,19,11,0,
3/27/2020,9,12,13,0,
3/28/2020,8,15,14,0,
3/29/2020,8,20,15,0,
3/30/2020,12,14,17,0,
3/31/2020,13,23,18,0,
4/1/2020,15,21,20,0,
4/2/2020,14,15,20,0,
4/3/2020,14,23,19,0,
4/4/2020,14,14,20,0,
4/5/2020,13,19,20,0,
4/6/2020,12,20,18,0,
4/7/2020,14,19,16,0,
4/8/2020,16,25,16,0,
4/9/2020,16,26,15,0,
4/10/2020,16,22,15,0,
4/11/2020,19,17,15,0,
4/12/2020,18,12,15,0,
4/13/2020,20,18,14,0,
4/14/2020,20,13,15,0,
4/15/2020,16,19,12,0,
4/16/2020,13,20,13,0,
4/17/2020,13,7,14,0,
4/18/2020,11,24,16,0,
4/19/2020,15,18,19,0,
4/20/2020,13,18,18,0,
4/21/2020,11,20,20,0,
4/22/2020,9,20,22,0,
4/23/2020,11,20,23,0,
4/24/2020,10,17,24,0,
4/25/2020,9,19,25,0,
4/26/2020,9,15,26,0,
4/27/2020,11,17,27,0,
4/28/2020,13,17,28,0,
4/29/2020,13,15,29,0,
4/30/2020,11,12,30,0,
5/1/2020,11,18,22,0,
5/2/2020,12,15,18,0,
5/3/2020,12,20,20,14,
5/4/2020,10,17,20,14,
5/5/2020,9,17,20,14,
5/6/2020,10,12,19,14,
5/7/2020,10,11,18,14,
5/8/2020,8,21,16,14,
5/9/2020,7,12,14,14,
5/10/2020,6,15,12,14,
5/11/2020,6,12,11,14,
5/12/2020,7,13,11,14,
5/13/2020,8,17,9,14,
5/14/2020,7,13,9,14,
5/15/2020,6,14,9,14,
5/16/2020,5,14,8,14,
5/17/2020,3,13,9,14,
5/18/2020,2,17,9,14,
